term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,outcome,type,year,coef,lci,uci
raceethNHOther,0.03777806698604339,0.01303063942918151,2.899172154318166,0.003742284709605581,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,1.6979756393333982e-4,soc,unadjusted,BOTH,1.0385007297043722,1.0123132046106116,1.0653656997503602
regionUrban,0.11803608842348808,0.016381994529290733,7.205233050984208,5.835332217429823e-13,0,102886.94589838175,102911,1.9438245229279065e-5,0,10,0,2.683697447577115e-4,soc,unadjusted,BOTH,1.125284720386114,1.0897271885125923,1.1620024858357683
(Intercept),-0.7032122698225547,0.15296443013053387,-4.59722740262204,4.286653746188307e-6,2.194905177797265e-5,101492.42717770704,102834,0.001051561060338535,0.0010318760725177851,10,0.0010329419405905806,0.02337397292820321,soc,adjusted,Y1,0.4949926971163629,0.36676918485709326,0.6680435006937655
historical_hba1c_group7-9,0.003950867387233335,0.0057912357397387464,0.6822149131528129,0.49510460439482085,8.212255930862606e-9,102719.17977893776,102834,2.8881207651851207e-4,2.693473288890795e-4,10,2.6941989641852943e-4,3.352937791170343e-5,soc,adjusted,Y1,1.0039586823523634,0.9926273575905143,1.0154193597054708
historical_hba1c_group>=9,-0.05067802436924508,0.007311288651131031,-6.931476349440173,4.197975300712642e-12,2.72644887587108e-7,75318.21715402287,102834,0.005636911931642959,0.005610507963953412,10,0.005642163366454833,5.31550323638116e-5,soc,adjusted,Y1,0.9505846863689419,0.9370598261911327,0.9643047548330489
historical_hba1c_groupUnavailable,-0.4924896211597424,0.011005836015482284,-44.748042808101125,0,4.4023557993676246e-8,102603.58870403499,102834,4.192739695531088e-4,3.997898365595297e-4,10,3.9994973239767704e-4,1.2108000048589392e-4,soc,adjusted,Y1,0.6111030835704235,0.5980618754392124,0.6244286654704804
raceethNHBlack,0.017108376380683358,0.006970542900646717,2.454382194404982,0.014114812988468728,2.2084658022666501e-7,79675.0005541874,102834,0.0050247470128248345,0.004999771480768341,10,0.00502489480651582,4.834553709150701e-5,soc,adjusted,Y1,1.0172555628275288,1.0034520569670993,1.0312489499809567
raceethHispanic,-0.03253591516259998,0.009235665416871429,-3.522855549007262,4.271107998072843e-4,6.806136220666367e-8,101846.04240834077,102834,8.973415799681419e-4,8.777219104167322e-4,10,8.7849298295602e-4,8.522264819396757e-5,soc,adjusted,Y1,0.967987683771938,0.9506229053846419,0.9856696599952339
raceethNHOther,0.007924614875483557,0.008965377891493239,0.8839130900441793,0.3767452952091235,1.4592888756470188e-7,98162.31005760714,102834,0.002017419062238753,0.0019970859544747198,10,0.0020010822878054444,8.021747896095458e-5,soc,adjusted,Y1,1.0079560977442006,0.99039886228852,1.0258245780211177
regionUrban,0.0430928855789636,0.010882418711511837,3.959862850468922,7.504332343977183e-5,3.177134629915866e-8,102699.49378587965,102834,3.145735695479651e-4,2.9510559252899e-4,10,2.9519270554727073e-4,1.1839208853173389e-4,soc,adjusted,Y1,1.0440348661299248,1.022001893893346,1.0665428393116863
SviOverallPctlRankByZip2020_X,-0.009670268968814219,0.00989375717748957,-0.9774111892311412,0.3283682332180269,3.008792351577542e-7,90679.74627075155,102834,0.003403114529336654,0.003381134187831853,10,0.003392605040720845,9.755546392845283e-5,soc,adjusted,Y1,0.9903763377280641,0.9713562064224337,1.0097689023310694
age,0.002060003374724631,2.5555857382990256e-4,8.060787567611605,8.881784197001252e-16,5.414042339179671e-10,52484.958883460225,102834,0.009156466876073,0.00911871035778879,10,0.009202626442852085,6.471464000066399e-8,soc,adjusted,Y1,1.0020621266394036,1.0015603246116829,1.0025641800801137
female,-3.6036560105295716e-4,0.005022660168771352,-0.07174795605196402,0.9428026714245106,1.150547895718459e-7,79553.56698618099,102834,0.005041847994958786,0.005016834769704782,10,0.005042130304328922,2.5100554902433234e-5,soc,adjusted,Y1,0.9996396993228313,0.9898471125649929,1.0095291644310658
supreme_detected_t2dm,-0.005237601527698808,0.006604225970673831,-0.7930681886047599,0.42774005652234504,9.757434055017706e-8,95955.92088889288,102834,0.0024816370995420774,0.002460846137229824,10,0.0024669168400064207,4.350846889711751e-5,soc,adjusted,Y1,0.9947760907917814,0.9819824088034605,1.0077364542780098
ldl,3.333342111501392e-4,8.668444527363563e-5,3.845375143117171,2.619593244550522e-4,2.4450330111494677e-9,70.17631191634227,102834,0.3754761405742349,0.35792749713904803,10,0.5574565108211171,4.824656740133515e-9,soc,adjusted,Y1,1.0003333897731717,1.0001634460542648,1.0005033623682265
BodyMassIndex,0.0021604449167258477,4.36222786127138e-4,4.952618215812738,9.377086787054623e-7,2.0427808356509326e-8,640.8657822775768,102834,0.12082525913567567,0.11808582430322616,10,0.1338971836005812,1.678197299443625e-7,soc,adjusted,Y1,1.002162780359407,1.0013063007244019,1.0030199925947814
insurance_medicare,-0.03326596281176401,0.0061364009213351455,-5.4210869267202435,6.067437663404007e-8,9.96688838840808e-7,9596.308590587256,102834,0.029317820682370353,0.029115538517499748,10,0.029988674937738245,3.6559058544637935e-5,soc,adjusted,Y1,0.9672812645302089,0.9557171206514778,0.9789853341471718
insurance_medicaid,-0.06089450052732036,0.007849585443818427,-7.757670893980135,8.881784197001252e-15,5.42521130062771e-7,49400.70996429069,102834,0.009725453657502072,0.009685362958331604,10,0.00978008664727439,6.1019218396737076e-5,soc,adjusted,Y1,0.9409225013676216,0.9265570234376866,0.9555107038044517
insurance_other,0.004799054097802491,0.007810193789796718,0.6144603100722037,0.5389336780121674,2.042584527831885e-6,6217.129641468817,102834,0.03714371183164078,0.036834018614006,10,0.038242649061381834,5.875228405356414e-5,soc,adjusted,Y1,1.0048105880011469,0.9895461001069721,1.0203105420253444
factor(ValidatedStateOrProvince_X)*Unspecified,-0.610643304409844,0.25776808086542696,-2.3689640019031013,0.01783982674546447,7.6168725887589965e-6,102800.35861150737,102834,1.4555100654558003e-4,1.26098842440007e-4,10,1.2611474536341192e-4,0.06643600495319767,soc,adjusted,Y1,0.5430014414705414,0.3276305285325884,0.8999483862498422
factor(ValidatedStateOrProvince_X)Alabama,-0.24175629664346537,0.1532209174465697,-1.5778282800569263,0.1146081445487721,5.891726959362391e-6,102714.20076228242,102834,2.9552282511519985e-4,2.760572646186861e-4,10,2.7613349327550927e-4,0.023470168643513235,soc,adjusted,Y1,0.7852475216920247,0.5815436212214301,1.0603051049349972
factor(ValidatedStateOrProvince_X)Alaska,-0.06240820895072406,0.29011690257618833,-0.21511400541143888,0.8296788614951673,9.633499069438598e-6,102800.43731715954,102834,1.4535358823265115e-4,1.2590143517905036e-4,10,1.2591728834636701e-4,0.08415722031142518,soc,adjusted,Y1,0.9394992964818939,0.5320396097472008,1.6590098028779658
factor(ValidatedStateOrProvince_X)Arizona,-0.39313538362318423,0.1557896999150222,-2.523500487115809,0.011620785288651181,5.551444589945595e-6,102731.8379893708,102834,2.710688219209687e-4,2.5160612721216455e-4,10,2.516694487875116e-4,0.024264324010563724,soc,adjusted,Y1,0.6749373659344606,0.4973390981712213,0.9159554308310522
factor(ValidatedStateOrProvince_X)Arkansas,-0.5515649924470211,0.1541801479404468,-3.577406039719634,3.4718032054548154e-4,4.98711583219052e-6,102745.76345532246,102834,2.5023358393146713e-4,2.307731214741598e-4,10,2.308263900006989e-4,0.02376603219152265,soc,adjusted,Y1,0.576047594449632,0.4258116858634393,0.7792900995620589
factor(ValidatedStateOrProvince_X)California,-0.3739855051463166,0.15082681365910935,-2.4795690903580216,0.013155715460990924,5.376831470731348e-6,102725.94548174407,102834,2.7945685229688555e-4,2.5999320449816133e-4,10,2.60060818543739e-4,0.022742813203941892,soc,adjusted,Y1,0.6879868840259266,0.5119102000164797,0.9246269220196551
factor(ValidatedStateOrProvince_X)Colorado,-0.45721644789222426,0.1548133000267481,-2.953340881004591,0.003144257779740922,4.959726446418606e-6,102747.77488320915,102834,2.47092435200888e-4,2.276322925626681e-4,10,2.276841208210707e-4,0.023961702166080862,soc,adjusted,Y1,0.6330433043438366,0.467362301472342,0.8574586009870524
factor(ValidatedStateOrProvince_X)Connecticut,-0.18994153700133187,0.15147175533774543,-1.2539733006843958,0.20985456420454796,6.0261886252041355e-6,102704.36526317273,102834,3.083835044359645e-4,2.889163302735641e-4,10,2.8899982704304306e-4,0.022937063857610088,soc,adjusted,Y1,0.8270074818673772,0.6145738504463834,1.112870934173091
factor(ValidatedStateOrProvince_X)Delaware,-0.2986563504191156,0.1589788805602248,-1.8785913535601844,0.06030314251347102,6.358322762698981e-6,102713.69570388897,102834,2.961957340778933e-4,2.7673009096976556e-4,10,2.7680669171074374e-4,0.025267290309143254,soc,adjusted,Y1,0.741814289807522,0.5432123559961394,1.0130263689483328
factor(ValidatedStateOrProvince_X)District of Columbia,-0.6768942018287069,0.2848277834321445,-2.376503421373448,0.017479420142665347,1.500376642409592e-5,102762.49682488467,102834,2.2289404650336752e-4,2.0343622078034492e-4,10,2.0347761549745512e-4,0.08111036207180208,soc,adjusted,Y1,0.5081928884348345,0.2907892045316087,0.888134799473504
factor(ValidatedStateOrProvince_X)Florida,-0.2771561501270576,0.15083567292161448,-1.8374708366971564,0.06614330383899114,4.767669952179015e-6,102745.93251658566,102834,2.4997094898413706e-4,2.305105134350829e-4,10,2.3056366078290944e-4,0.022746155788768867,soc,adjusted,Y1,0.7579361360457562,0.5639475269960132,1.0186536137218172
factor(ValidatedStateOrProvince_X)Georgia,-0.2857602476572505,0.15261733145015752,-1.872397092400842,0.06115452503768837,4.992930226317355e-6,102742.49736523269,102834,2.5525917543531794e-4,2.3579819218163967e-4,10,2.3585380608273315e-4,0.02328655763571829,soc,adjusted,Y1,0.7514427545125381,0.5571670257554251,1.0134594963580228
factor(ValidatedStateOrProvince_X)Hawaii,-0.1617860284199058,0.15250608671214608,-1.0608496480883123,0.28876073008425607,6.478867863665722e-6,102690.35730807822,102834,3.258897321029199e-4,3.0642024340449254e-4,10,3.065141655497072e-4,0.023250979729602588,soc,adjusted,Y1,0.8506231942581651,0.6308431895269451,1.1469725450353916
factor(ValidatedStateOrProvince_X)Idaho,-0.902750553644892,0.15739251289970968,-5.735663895398401,9.740256601276087e-9,5.0486615492399236e-6,102749.95788612773,102834,2.4364182980988217e-4,2.2418203344908995e-4,10,2.242323023025851e-4,0.024766849589181118,soc,adjusted,Y1,0.4054529046325852,0.2978277800212404,0.5519701952023286
factor(ValidatedStateOrProvince_X)Illinois,-0.3171643964582757,0.1506903921074165,-2.1047419946468233,0.0353161950956129,5.190319021309451e-6,102731.96056423034,102834,2.708918159806245e-4,2.5142914104760774e-4,10,2.514923735590717e-4,0.022701884922563496,soc,adjusted,Y1,0.7282110299705712,0.5419846684209405,0.9784249169183904
factor(ValidatedStateOrProvince_X)Indiana,-0.34863602343048605,0.1511242128643621,-2.306950136067183,0.021059579328998712,5.8169414056858285e-6,102711.09817846182,102834,2.9963454628615115e-4,2.801684778641675e-4,10,2.8024699423796924e-4,0.022832129078326772,soc,adjusted,Y1,0.7056499235722064,0.5247467673593463,0.948918308050234
factor(ValidatedStateOrProvince_X)Iowa,-0.3739296060187412,0.15156706706882284,-2.4670900694340747,0.01362322757346468,5.400182397056718e-6,102726.95134833861,102834,2.7804139451336645e-4,0.00025857790973665663,10,2.586447895657068e-4,0.022966635619208274,soc,adjusted,Y1,0.6880253429674276,0.5111965844005858,0.92602119617156
factor(ValidatedStateOrProvince_X)Kansas,-0.649575561166148,0.15374026034773977,-4.2251493505793185,2.3898793067189672e-5,4.893311648106245e-6,102747.71262735047,102834,2.471902001895729e-4,2.2773004766336627e-4,10,2.277819204509674e-4,0.02363068500897789,soc,adjusted,Y1,0.5222674002912111,0.38639061260178903,0.7059261496294365
factor(ValidatedStateOrProvince_X)Kentucky,-0.4648701830025869,0.15232061411890102,-3.0519190438643493,0.0022744146079292094,5.923903600414668e-6,102710.57567919747,102834,3.003218937796236e-4,2.808557397167434e-4,10,2.8093464182338474e-4,0.023195053191598692,soc,adjusted,Y1,0.6282166530960039,0.46607039842927545,0.8467737160677726
factor(ValidatedStateOrProvince_X)Louisiana,-0.18781943766856285,0.15075996210237716,-1.2458177559173143,0.21283415063531952,5.319743010950161e-6,102727.74191067752,102834,2.769242659554054e-4,2.5746090921336914e-4,10,2.575272124036217e-4,0.022722714455798154,soc,adjusted,Y1,0.8287643373444561,0.6167392440869329,1.1136802683455957
factor(ValidatedStateOrProvince_X)Maine,-0.4353819598300349,0.1530812416712727,-2.844123519490232,0.004454257332089817,5.3747692867857005e-6,102731.36023573743,102834,2.717577228967844e-4,2.522949510888935e-4,10,2.5235861989455664e-4,0.023427954305403134,soc,adjusted,Y1,0.6470174851855919,0.479303536916727,0.873416517701641
factor(ValidatedStateOrProvince_X)Maryland,-0.3467855381937457,0.15149105892873757,-2.2891485520401305,0.022072741980621924,5.584388581297498e-6,102720.41042288586,102834,2.8713122758458165e-4,2.6766668042432025e-4,10,2.677383450583643e-4,0.02294339810791081,soc,adjusted,Y1,0.7069569272606347,0.5253408370057364,0.9513596922150961
factor(ValidatedStateOrProvince_X)Massachusetts,-0.3432020454679806,0.15084553738292059,-2.275188589747697,0.022896669736564235,5.323580244102953e-6,102727.8171580391,102834,2.7681772027790156e-4,2.57354375718181e-4,10,2.574206240421784e-4,0.02274852021007358,soc,adjusted,Y1,0.7094948468592388,0.5278942503630946,0.953567759780637
factor(ValidatedStateOrProvince_X)Michigan,-0.36660140090034343,0.15066305546403538,-2.4332534593250332,0.014965515913262895,5.379882722332383e-6,102725.43672151864,102834,2.8017028608059703e-4,2.607065557767014e-4,10,2.6077454140922645e-4,0.02269343841076444,soc,adjusted,Y1,0.6930858533896816,0.5158697387722283,0.9311808079926935
factor(ValidatedStateOrProvince_X)Minnesota,-0.2988033639740355,0.15102586605696966,-1.9784913126160888,0.04787597452509762,5.376824571277136e-6,102726.43306281307,102834,2.787715490176653e-4,2.593079802581948e-4,10,2.5937523832737444e-4,0.022802897711229335,soc,adjusted,Y1,0.7417052410677049,0.5516651321491529,0.9972112293632601
factor(ValidatedStateOrProvince_X)Mississippi,-0.5673109133692982,0.15226339416477358,-3.725852273826079,1.9476057152623127e-4,5.946597541394697e-6,102709.5935923988,102834,3.016099251929009e-4,2.8214361008149075e-4,10,2.822232375645861e-4,0.023177599945281672,soc,adjusted,Y1,0.5670482321401735,0.42073707474968347,0.7642390387502641
factor(ValidatedStateOrProvince_X)Missouri,-0.3121501327683076,0.15335148455561365,-2.0355207755103595,0.04180106104054282,5.26862624790267e-6,102735.38464929223,102834,2.6590377291517284e-4,2.4644164954690673e-4,10,2.465023980044882e-4,0.02351088232653792,soc,adjusted,Y1,0.731871642064093,0.5418754817000064,0.9884855811840022
factor(ValidatedStateOrProvince_X)Montana,-0.4967053744146432,0.29856077400761954,-1.6636658853314963,0.09618226510965866,5.610735636673842e-6,102809.9711941741,102834,8.86898470716153e-5,6.923839556719473e-5,10,6.924318985456421e-5,0.08913236396682854,soc,adjusted,Y1,0.6085322465715364,0.33895616339931783,1.0925055659222342
factor(ValidatedStateOrProvince_X)Nebraska,-0.813426085530773,0.20504316715310442,-3.967096767108523,7.280275953958082e-5,7.200376289218749e-6,102770.96088143875,102834,2.0784626846714584e-4,1.8838975240660427e-4,10,1.8842524979275987e-4,0.04203477998225778,soc,adjusted,Y1,0.4433365523456487,0.2966178428440738,0.66262803599798
factor(ValidatedStateOrProvince_X)Nevada,-0.396081666413481,0.15597171734482634,-2.5394454402128135,0.011104296876837783,4.757811507976366e-6,102755.55065210737,102834,2.345924959391033e-4,2.1513358259179043e-4,10,2.151798750092028e-4,0.024321943018835626,soc,adjusted,Y1,0.6729517361384959,0.49569907876534114,0.9135866064140841
factor(ValidatedStateOrProvince_X)New Hampshire,-0.44111683287599196,0.15466430037100615,-2.852092123507805,0.004344117468834119,5.545387592815471e-6,102729.4716002158,102834,2.744655713882451e-4,2.5500249448698976e-4,10,2.5506753734527547e-4,0.02391494588290071,soc,adjusted,Y1,0.6433175415436138,0.47508627417259097,0.8711206400953012
factor(ValidatedStateOrProvince_X)New Jersey,-0.28020852357889403,0.1523114846178594,-1.8397071257096653,0.065814130104356,5.140378834252874e-6,102737.2167823213,102834,2.631994170134656e-4,2.437375880681336e-4,10,2.4379701056346658e-4,0.023193133929778738,soc,adjusted,Y1,0.7556261591554708,0.5606048250049253,1.018490863675732
factor(ValidatedStateOrProvince_X)New Mexico,-0.2670013082584835,0.1710141583181371,-1.5612818896654266,0.11846033421870872,5.57285131684895e-6,102758.87230303249,102834,2.2906550038303622e-4,2.096071084622804e-4,10,2.0965105281324663e-4,0.02923971220881233,soc,adjusted,Y1,0.7656720697677378,0.5476115692705937,1.0705648881802996
factor(ValidatedStateOrProvince_X)New York,-0.24546991731689874,0.15054103875163505,-1.6305847186419302,0.10298104137487574,5.259846115520319e-6,102729.26093277181,102834,2.7476610430476753e-4,2.5530299334177814e-4,10,2.5536818960498857e-4,0.022656818517694213,soc,adjusted,Y1,0.7823368182311002,0.5824392718743476,1.050840708577773
factor(ValidatedStateOrProvince_X)North Carolina,-0.268881427776222,0.15097789646065665,-1.7809324018916228,0.07492644821910988,4.902912031047295e-6,102741.96886087711,102834,2.560639582017853e-4,2.3660289050778986e-4,10,2.3665888468397042e-4,0.022788932016450606,soc,adjusted,Y1,0.7642338671852057,0.5684749075052441,1.0274040173839454
factor(ValidatedStateOrProvince_X)North Dakota,-0.3765475942760432,0.15929153126189607,-2.363889600991717,0.01808605099692473,6.531073426907632e-6,102708.83579558025,102834,3.026003434754471e-4,2.831339040266258e-4,10,2.832140915380383e-4,0.025366607750990013,soc,adjusted,Y1,0.6862264564581347,0.502198913596582,0.9376897018167768
factor(ValidatedStateOrProvince_X)Ohio,-0.40864329214695494,0.15054245501193214,-2.7144720877214703,0.006639257466593218,5.628652839246636e-6,102716.33452106977,102834,2.926642463137565e-4,2.7319903451839743e-4,10,2.732736926273825e-4,0.02265683924289644,soc,adjusted,Y1,0.6645512406946364,0.49474811526787205,0.8926327112326023
factor(ValidatedStateOrProvince_X)Oklahoma,-0.24892499238365048,0.1519111642862913,-1.638622108869676,0.10129504772489861,5.783829474239157e-6,102714.47231127166,102834,2.9516044679350393e-4,2.7569493070214675e-4,10,2.757709593576765e-4,0.023070639622394928,soc,adjusted,Y1,0.7796384500133267,0.5788737495135146,1.0500322622160838
factor(ValidatedStateOrProvince_X)Oregon,-0.37872595686407895,0.1515712972157829,-2.4986654057919004,0.012467744307550488,5.227959100815978e-6,102732.72888916678,102834,2.6977988892591665e-4,2.503173379035621e-4,10,2.503800123617207e-4,0.022968107384664302,soc,adjusted,Y1,0.6847332333995672,0.5087463587968502,0.9215979491836493
factor(ValidatedStateOrProvince_X)Pennsylvania,-0.3004865787083083,0.1505340493735127,-1.9961369534591196,0.04592165269792492,5.37240433461528e-6,102725.37672296526,102834,2.802543122941401e-4,2.607905722581458e-4,10,2.608586017221674e-4,0.02265459037601908,soc,adjusted,Y1,0.7404578419922162,0.5512684874383068,0.9945749272111772
factor(ValidatedStateOrProvince_X)Puerto Rico,-1.1618066332449404,0.9591897443262806,-1.2112375472289632,0.2258071604598899,1.3787833487028187e-5,102809.9711941741,102834,3.59371250965014e-5,1.6484647384053378e-5,10,1.6484919132132428e-5,0.9200297990038797,soc,adjusted,Y1,0.31292033761592764,0.047747979259461976,2.0507493555187883
factor(ValidatedStateOrProvince_X)Rhode Island,-0.5448331779667925,0.21475873422250022,-2.5369546898256514,0.01118360921700523,1.1424491576337239e-5,102716.8714345375,102834,2.91940898662552e-4,2.724757745290471e-4,10,2.7255003781169777e-4,0.04610874698411652,soc,adjusted,Y1,0.5799385217939103,0.38069364942525524,0.8834628304629493
factor(ValidatedStateOrProvince_X)South Carolina,-0.2751179948985344,0.15122740751515779,-1.8192336919546732,0.06887869420853954,5.159672782575883e-6,102734.20287697649,102834,2.6763491385986397e-4,2.481726003180627e-4,10,2.4823420524626655e-4,0.022864053143694763,soc,adjusted,Y1,0.7594825028768349,0.5646643960392805,1.0215159238336957
factor(ValidatedStateOrProvince_X)South Dakota,-0.5157383295805996,0.21008754086717332,-2.454873465850468,0.014095063540947361,7.177147757890346e-6,102776.0408327898,102834,1.983284045028332e-4,1.7887266490390673e-4,10,1.789046660582883e-4,0.04412887996508254,soc,adjusted,Y1,0.5970596050726512,0.3955374089873262,0.9012552641283357
factor(ValidatedStateOrProvince_X)Tennessee,-0.30914763203696705,0.15824548756380483,-1.9535952449343508,0.05075181344595636,5.539779970239114e-6,102737.48132009509,102834,2.628068447860469e-4,2.4334505831014207e-4,10,2.4340428954117342e-4,0.025035540576339048,soc,adjusted,Y1,0.7340723894241038,0.5383163999647654,1.0010140373766865
factor(ValidatedStateOrProvince_X)Texas,-0.26374544117921345,0.1505192288850069,-1.7522375256168012,0.07973595647494136,4.884247223467003e-6,102741.61470582489,102834,2.5660196433825114e-4,2.3714084003460844e-4,10,2.3719708915158363e-4,0.022650665592191283,soc,adjusted,Y1,0.7681690589798849,0.5719160124330791,1.0317663613992423
factor(ValidatedStateOrProvince_X)Utah,-0.36358337319985623,0.15347079856971255,-2.3690720097133147,0.017834618925476553,4.815600585125131e-6,102749.50520502341,102834,2.443609982633206e-4,2.2490113016813466e-4,10,2.249517220646603e-4,0.023547988852981643,soc,adjusted,Y1,0.6951807653550747,0.5145893173946569,0.9391494929713543
factor(ValidatedStateOrProvince_X)Vermont,-0.4129151776567677,0.1579742811351767,-2.6138126705792137,0.008955116937634733,5.643778560226829e-6,102733.79658497014,102834,2.682277213736365e-4,2.4876534240349344e-4,10,2.4882724199754827e-4,0.024949665343759597,soc,adjusted,Y1,0.6617184089534474,0.4855151587939176,0.9018693748627964
factor(ValidatedStateOrProvince_X)Virgin Islands,-0.5929946251779098,0.7051443250188559,-0.8409549706892313,0.400375116905074,3.5998160843435755e-5,102809.9711941741,102834,9.908863002931821e-5,7.963738081426106e-5,10,7.964372343179347e-5,0.4971889211293702,soc,adjusted,Y1,0.5526697653541622,0.13875055835064917,2.201388399207085
