term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,model,type
supreme_detected_t2dm,-0.2620971042078703,0.021455950261237106,-12.215590594529944,0,8.616162339251727e-7,12776.144012033583,12882,0.002214968057238189,0.0020587852622406463,10,0.0020630326033599655,4.5941002375536296e-4,Main,adjusted
ldl,6.100783533905042e-4,2.588212731337938e-4,2.357141459060567,0.018765132337011048,7.591499720274821e-9,550.866471054849,12882,0.12781889056840842,0.12465804947666938,10,0.14241068807697552,5.863780173429559e-8,Main,adjusted
BodyMassIndex,-0.002685795312538712,0.0015259463985156534,-1.760084964420302,0.07857171916160799,1.4201562832696953e-7,1714.311856334118,12882,0.06817531611872964,0.06708883766824808,10,0.07191342581919999,2.172295219983227e-6,Main,adjusted
insurance_medicare,-0.08203026080991697,0.02226898234291511,-3.683610662883073,2.3184338376158742e-4,1.1785211869739744e-5,6424.492109956836,12882,0.026444458915352218,0.026141429816747913,10,0.02684314808856573,4.8294384153235113e-4,Main,adjusted
insurance_medicaid,-0.049747047322003746,0.02824794953831568,-1.7610852516755797,0.07839632585026601,4.7722611321009664e-5,1773.0662462127477,12882,0.06683944804927239,0.06578744612550791,10,0.0704202120306191,7.454517806661185e-4,Main,adjusted
insurance_other,-0.05398368188168016,0.027608528760781334,-1.9553262815788086,0.05059928736157593,2.243649878154255e-5,5083.226940541676,12882,0.03275932366037621,0.03237883683803284,10,0.03346230743055074,7.375507116751934e-4,Main,adjusted
factor(ValidatedStateOrProvince_X)*Unspecified,0.10528419799100977,0.802244351910007,0.13123706977848587,0.8955898221939971,8.997427437612211e-5,12877.584040038626,12882,3.090278215930529e-4,1.5377923695510863e-4,10,1.538028886459661e-4,0.6434970284696935,Main,adjusted
factor(ValidatedStateOrProvince_X)Alabama,-0.3116885594038131,0.7142817121993849,-0.43636642809190146,0.6625782080348159,6.741979097690123e-5,12877.738902977959,12882,3.006067237808069e-4,1.4535869820820094e-4,10,1.4537983043109813e-4,0.5101242026124103,Main,adjusted
factor(ValidatedStateOrProvince_X)Alaska,-10.418838988163708,121.13659505344263,-0.08600901307789904,0.9314605894303991,5.75162857527495e-5,12878.528177987417,12882,1.5526539266253486e-4,4.311543711547518e-9,10,4.311543730136928e-9,14674.074597873827,Main,adjusted
factor(ValidatedStateOrProvince_X)Arizona,-0.5953165406020309,0.7202466307581996,-0.8265454015041271,0.4085100878862846,6.162481234280613e-5,12878.00274095247,12882,2.8592011457879984e-4,1.3067298869590143e-4,10,1.3069006635746521e-4,0.5186874218249613,Main,adjusted
factor(ValidatedStateOrProvince_X)Arkansas,-0.5282810673063123,0.7128326570190239,-0.7411011015060912,0.45864565521492295,6.85387035318654e-5,12877.683776014579,12882,3.036207152979267e-4,1.483724932480074e-4,10,1.4839451091157568e-4,0.5080550043389164,Main,adjusted
factor(ValidatedStateOrProvince_X)California,-0.7480005260396264,0.7092700627908768,-1.0546060876957795,0.2916253041961623,7.17678669538124e-5,12877.525466667801,12882,3.1217644953426864e-4,1.569276477769778e-4,10,1.569522779287664e-4,0.5029850773177251,Main,adjusted
factor(ValidatedStateOrProvince_X)Colorado,-0.5067745286419795,0.7156965716996425,-0.7080857288983331,0.4789048372902145,7.590052360654988e-5,12877.411521952637,12882,3.1824622227466607e-4,1.629969895453562e-4,10,1.6302356189517008e-4,0.5121380921666543,Main,adjusted
factor(ValidatedStateOrProvince_X)Connecticut,-0.6806195039066942,0.7112006984653667,-0.9570006123100543,0.33858491141421365,7.182072628302438e-5,12877.53918982167,12882,3.11440514261098e-4,1.5619176364568268e-4,10,1.5621616332374218e-4,0.5057274306987141,Main,adjusted
factor(ValidatedStateOrProvince_X)Delaware,-0.5471716082948624,0.7341749210447366,-0.7452877953338872,0.4561113586684322,4.462256315335376e-5,12878.528177987417,12882,2.463112334152444e-4,9.106429036724088e-5,10,9.107258382745903e-5,0.5389637298715765,Main,adjusted
factor(ValidatedStateOrProvince_X)District of Columbia,-0.05663576429817948,0.8665856082882466,-0.06535507139340942,0.9478923099599463,1.4226243195742752e-4,12876.51648620654,12882,3.6363486219006023e-4,2.0838188834086378e-4,10,2.0842532040270736e-4,0.7508141278171573,Main,adjusted
factor(ValidatedStateOrProvince_X)Florida,-0.6594932437587903,0.7093229987059364,-0.9297502618157684,0.3525178318864757,6.860110351401412e-5,12877.654220480752,12882,3.052291417928532e-4,1.4998081324181465e-4,10,1.5000331086036645e-4,0.5030636552793165,Main,adjusted
factor(ValidatedStateOrProvince_X)Georgia,-1.0553929011005725,0.7169941373752604,-1.471968662064807,0.1410537771832725,6.765196408244562e-5,12877.749854876969,12882,3.000057573521085e-4,1.4475777047330784e-4,10,1.447787283192313e-4,0.5140061758700031,Main,adjusted
factor(ValidatedStateOrProvince_X)Hawaii,-0.8457940341311124,0.721098710478522,-1.1729240696739596,0.2408479516378177,7.281594321175989e-5,12877.579227538054,12882,3.0928726051068404e-4,1.540386581490404e-4,10,1.5406238971282297e-4,0.5199032527162545,Main,adjusted
factor(ValidatedStateOrProvince_X)Idaho,-0.8742401510830614,0.7147750102558589,-1.2230983715702664,0.22131492518329288,7.055537016272188e-5,12877.618657858971,12882,3.0715764459992044e-4,1.5190918683999547e-4,10,1.5193226674709178e-4,0.5108257043790843,Main,adjusted
factor(ValidatedStateOrProvince_X)Illinois,-0.40387363292955625,0.7084985408796105,-0.5700415874225255,0.5686594362984319,6.899985674308642e-5,12877.631680731252,12882,3.0645229666514387e-4,1.5120388635474484e-4,10,1.512267524274327e-4,0.5018942825861197,Main,adjusted
factor(ValidatedStateOrProvince_X)Indiana,-0.8888563318708514,0.7100593481062278,-1.2518056895405802,0.210663412865157,6.526223627942077e-5,12877.792962134097,12882,2.976331956886638e-4,1.423853600035012e-4,10,1.4240563648131813e-4,0.5041124893731338,Main,adjusted
factor(ValidatedStateOrProvince_X)Iowa,-0.4744234369002967,0.7098585439437396,-0.6683351788154254,0.5039316411631667,6.91988830768233e-5,12877.634343827915,12882,3.063079350995112e-4,1.5105953447324397e-4,10,1.5108235690374495e-4,0.5038230336385416,Main,adjusted
factor(ValidatedStateOrProvince_X)Kansas,-0.5964118305707796,0.7116602556592027,-0.8380569602251151,0.40201426777127236,6.798861214569965e-5,12877.696710655924,12882,3.0291517048809484e-4,1.476669947930564e-4,10,1.4768880355484196e-4,0.5063855320115613,Main,adjusted
factor(ValidatedStateOrProvince_X)Kentucky,-0.5666292314081398,0.7119392017613194,-0.7958955343466317,0.42610742774641563,7.19975944919487e-5,12877.538072132791,12882,3.1150049287997537e-4,1.5625173810550374e-4,10,1.5627615652658545e-4,0.5067782296506035,Main,adjusted
factor(ValidatedStateOrProvince_X)Louisiana,-0.5996448496760748,0.7094011389114206,-0.8452831787051154,0.3979684552342855,7.144008024280305e-5,12877.539908644188,12882,3.1140193628120447e-4,1.5615318834003155e-4,10,1.5617757596646595e-4,0.5031713918005536,Main,adjusted
factor(ValidatedStateOrProvince_X)Maine,-0.5107943325555563,0.7131651325797367,-0.7162357064595359,0.47385880630238564,6.410545155443586e-5,12877.860485777126,12882,2.938936345508278e-4,1.386460320988123e-4,10,1.3866525748655278e-4,0.5085339903307634,Main,adjusted
factor(ValidatedStateOrProvince_X)Maryland,-0.5299343359206071,0.7100524017122276,-0.7463313054680444,0.4554809287893655,6.455721555178622e-5,12877.820750546796,12882,2.960976816671569e-4,1.4084994250192494e-4,10,1.4086978400290202e-4,0.5041034002401957,Main,adjusted
factor(ValidatedStateOrProvince_X)Massachusetts,-0.4565371812688237,0.7086179079276048,-0.6442642447521455,0.5194155720092963,6.691532367621833e-5,12877.71648468233,12882,3.018346205915645e-4,1.4658651546114592e-4,10,1.466080062179161e-4,0.5020657325796516,Main,adjusted
factor(ValidatedStateOrProvince_X)Michigan,-0.5712401588759184,0.7084798353327515,-0.8062899328780815,0.42009058300988045,6.903805338697182e-5,12877.629988746865,12882,3.065439944255674e-4,1.5129557795905032e-4,10,1.5131847177469334e-4,0.501867735214397,Main,adjusted
factor(ValidatedStateOrProvince_X)Minnesota,-0.5427129850048276,0.7096337668790874,-0.764778975205247,0.4444171833576851,6.527564509854698e-5,12877.789333848645,12882,2.978333318014593e-4,1.4258548345895492e-4,10,1.4260581697831285e-4,0.5035082798853945,Main,adjusted
factor(ValidatedStateOrProvince_X)Mississippi,-0.45586504769586,0.7100328219037564,-0.6420337675004715,0.5208626865324031,6.558610063819646e-5,12877.779950843587,12882,2.983505213804288e-4,1.431026402466049e-4,10,1.4312312154317807e-4,0.5040744634699094,Main,adjusted
factor(ValidatedStateOrProvince_X)Missouri,-0.8178495249851041,0.719549704758995,-1.1366129672154246,0.2557212665175288,6.581288282818215e-5,12877.839268329464,12882,2.950717651830319e-4,1.3982408992192265e-4,10,1.3984364343209692e-4,0.517679383447646,Main,adjusted
factor(ValidatedStateOrProvince_X)Montana,-1.4916239743365998,1.225029354287911,-1.217623046431941,0.22338956145927114,8.249333464238756e-5,12878.528177987417,12882,2.1571871194736914e-4,6.046701833380991e-5,10,6.047067481521262e-5,1.5006061761989493,Main,adjusted
factor(ValidatedStateOrProvince_X)Nebraska,-1.007874379773223,0.7909334685930628,-1.2742846519898336,0.202585547645443,6.95848830978659e-5,12878.148625983258,12882,2.7760333781274383e-4,1.223566789388366e-4,10,1.2237165192776272e-4,0.6254992083692459,Main,adjusted
factor(ValidatedStateOrProvince_X)Nevada,-0.6587115823977495,0.7207045494993602,-0.9139828281302312,0.3607429807914082,7.169095210342031e-5,12877.620218333093,12882,3.070731781068071e-4,1.518247260406765e-4,10,1.5184778028831864e-4,0.519336187621762,Main,adjusted
factor(ValidatedStateOrProvince_X)New Hampshire,-0.43061010736235017,0.7143386331125834,-0.6028094903478136,0.5466460476037462,6.416530697457994e-5,12877.866350451177,12882,2.9356748824687734e-4,1.3831990584196622e-4,10,1.3833904088507573e-4,0.510209100919482,Main,adjusted
factor(ValidatedStateOrProvince_X)New Jersey,-0.8636702800005088,0.715514921253685,-1.2070611727946,0.227430757394822,7.058719321579843e-5,12877.623195504146,12882,3.0691198814846197e-4,1.5166354693918132e-4,10,1.5168655225972e-4,0.5118839566241297,Main,adjusted
factor(ValidatedStateOrProvince_X)New Mexico,-0.4052214962341198,0.7565157511693504,-0.5356418496346794,0.5922153499349319,7.295652995727695e-5,12877.832062544889,12882,2.9547123304442437e-4,1.4022353295609636e-4,10,1.4024319835284247e-4,0.5722358295843735,Main,adjusted
factor(ValidatedStateOrProvince_X)New York,-0.6962260210149622,0.7084833854068635,-0.9826991505455528,0.3257739907957027,6.995970190915093e-5,12877.592667799629,12882,3.0856236957802125e-4,1.5331381666277107e-4,10,1.53337325393364e-4,0.5018717517254703,Main,adjusted
factor(ValidatedStateOrProvince_X)North Carolina,-0.7453027646408551,0.7097843735424257,-1.0500411003994952,0.29371892165967206,7.247311751172325e-5,12877.500940425927,12882,3.1348907091186147e-4,1.5824017734055343e-4,10,1.5826522125723198e-4,0.5037141364957509,Main,adjusted
factor(ValidatedStateOrProvince_X)North Dakota,-0.5754438296159523,0.7263625802970567,-0.7922266994819805,0.42824309628801127,6.811548769227049e-5,12877.799688286435,12882,2.9726196597077353e-4,1.4201415371645576e-4,10,1.4203432460086266e-4,0.5275276710193366,Main,adjusted
factor(ValidatedStateOrProvince_X)Ohio,-0.599747800288183,0.7080269583346278,-0.84706915920104,0.396972315835312,6.972810667805529e-5,12877.598418462148,12882,3.082518925864317e-4,1.530033607781407e-4,10,1.5302677438891127e-4,0.5012254728112389,Main,adjusted
factor(ValidatedStateOrProvince_X)Oklahoma,-0.6244499038639462,0.7143056604075068,-0.8742054535976959,0.3820226792042263,7.139765996104955e-5,12877.581340791703,12882,3.0917335276676815e-4,1.5392475819046866e-4,10,1.5394845466912743e-4,0.5101540390642472,Main,adjusted
factor(ValidatedStateOrProvince_X)Oregon,-0.7796339171910274,0.7111300079969112,-1.0963310624270741,0.27295442203371634,7.097527843234413e-5,12877.572820647923,12882,3.096324448966716e-4,1.5438381890725723e-4,10,1.5440765695100584e-4,0.5056278154674114,Main,adjusted
factor(ValidatedStateOrProvince_X)Pennsylvania,-0.6755528182617738,0.7082536587399241,-0.9538289141543874,0.3401881542134526,6.95472882079537e-5,12877.607569887541,12882,3.077574136335495e-4,1.5250891535275338e-4,10,1.525321778697567e-4,0.50154674310146,Main,adjusted
factor(ValidatedStateOrProvince_X)Puerto Rico,0.4347304642895532,1.2255256090147673,0.3547298082485968,0.7227978263639248,2.0665723925490483e-4,12877.628880782357,12882,3.066040319113049e-4,1.513556114121564e-4,10,1.5137852340112046e-4,1.5016856953878357,Main,adjusted
factor(ValidatedStateOrProvince_X)Rhode Island,-0.4923583846032985,0.80205720552458315,-0.6138694113236886,0.5393124685152204,9.341900016397214e-5,12877.47281235375,12882,3.149902980297467e-4,1.5974129851436676e-4,10,1.5976681987363287e-4,0.643193000033723,Main,adjusted
factor(ValidatedStateOrProvince_X)South Carolina,-0.7311439543045257,0.7111231681211733,-1.0281537532186562,0.30389681946674996,6.685226934916564e-5,12877.737815277504,12882,3.006663696546508e-4,1.4541834023294078e-4,10,1.4543948980215215e-4,0.5056226227424103,Main,adjusted
factor(ValidatedStateOrProvince_X)South Dakota,-0.7081318277078026,0.8663895398938507,-0.8173365387058601,0.41375125205607555,9.524809205077047e-5,12877.843672334375,12882,2.9482745938671487e-4,1.3957979927447592e-4,10,1.3959928451458733e-4,0.7505260619362225,Main,adjusted
factor(ValidatedStateOrProvince_X)Tennessee,-0.8611460498237885,0.7300191279811048,-1.179621213769179,0.2381726937435824,7.981789135864569e-5,12877.378365746321,12882,3.1999899335572596e-4,1.647496331310606e-4,10,1.6477678004512156e-4,0.5328401275377981,Main,adjusted
factor(ValidatedStateOrProvince_X)Texas,-0.508280980305931,0.7082266290479523,-0.7176812611369864,0.47296685841829555,7.008732551474971e-5,12877.585418887214,12882,3.0895346409490546e-4,1.5370488453122163e-4,10,1.5372851335461595e-4,0.5015078620345595,Main,adjusted
factor(ValidatedStateOrProvince_X)Utah,-0.36612568475825696,0.7141334799823815,-0.512685226251106,0.6081803191078317,6.49526046042077e-5,12877.834336281425,12882,2.9534521882994914e-4,1.400975265811458e-4,10,1.4011715664822378e-4,0.5099151793666818,Main,adjusted
factor(ValidatedStateOrProvince_X)Vermont,-0.6603123277761179,0.7205619838859703,-0.916385186205734,0.359482062368224,6.762012050373478e-5,12877.777087924414,12882,2.985082169978852e-4,1.4326032584207718e-4,10,1.4328085230366511e-4,0.5191351904891313,Main,adjusted
factor(ValidatedStateOrProvince_X)Virgin Islands,-10.288323100293946,327.905873781702,-0.03137584265155076,0.9749702926394685,2.2418724116846813e-4,12878.528177987417,12882,1.5526337496615556e-4,2.2935340138813394e-9,10,2.2935340191416377e-9,107522.26181393552,Main,adjusted
factor(ValidatedStateOrProvince_X)Virginia,-0.5493999199404546,0.7089024871731011,-0.7750006945684492,0.4383534790553285,6.666566726939215e-5,12877.728617730345,12882,3.0117044571684924e-4,1.4592238370271805e-4,10,1.4594368015241225e-4,0.5024694040862124,Main,adjusted
factor(ValidatedStateOrProvince_X)Washington,-0.5710699772303982,0.710729707565396,-0.8034981106764172,0.42170171864369954,6.493546230882755e-5,12877.810709572697,12882,2.9665307296708384e-4,1.4140529901168856e-4,10,1.4142529729814084e-4,0.5050652882074536,Main,adjusted
factor(ValidatedStateOrProvince_X)West Virginia,-0.3482470155206841,0.7111369233234858,-0.48970459007128736,0.6243512950279833,6.946733119710458e-5,12877.633582106455,12882,3.0634923086364795e-4,1.511008274681032e-4,10,1.511236623785386e-4,0.5056393096496764,Main,adjusted
factor(ValidatedStateOrProvince_X)Wisconsin,-0.49591492637699897,0.7084218422690284,-0.7000277190615922,0.4839226394378304,6.852608240639897e-5,12877.65021849022,12882,3.0544653447725007e-4,1.5019819144356246e-4,10,1.5022075432918e-4,0.5017861279131971,Main,adjusted
factor(ValidatedStateOrProvince_X)Wyoming,-0.9914706602141862,0.8021789448372765,-1.2359719319425766,0.21649154154089212,9.207775927194064e-5,12877.516646256128,12882,3.126489006490707e-4,1.574000659333169e-4,10,1.574248446142387e-4,0.6433897740050472,Main,adjusted
htn_dx,-0.008925025425298185,0.024834284460238026,-0.35938323246590703,0.7193143252006848,6.26521623138533e-7,12842.68358196687,12882,0.0012729635164627265,0.0011174431737028354,10,0.0011186932498383347,6.160525108665675e-4,Main,adjusted
hld_dx,0.05489698822407818,0.026747062451984792,2.0524492483100514,0.040146210261695625,4.115016493243298e-7,12864.485304245962,12882,7.880529378389748e-4,6.327207566685694e-4,10,6.331213456854744e-4,7.14952697996118e-4,Main,adjusted
cerebro_dx,0.02006951182735283,0.05107408874799635,0.39294899467276667,0.6943636575911762,2.4062147558461054e-7,12878.503833132454,12882,2.567128542583299e-4,0.00010146723298308987,10,1.0147752962723111e-4,0.002608297857815064,Main,adjusted
pulmonary_dx,-0.14955037323707113,0.029534696830574622,-5.06354861520891,4.1721153776208553e-7,2.1169731836302896e-7,12875.249244427001,12882,4.222171955068522e-4,2.669580414116295e-4,10,2.6702932703777496e-4,8.720654498237553e-4,Main,adjusted
cardiovascular_dx,0.047577547693796594,0.02041575869921559,2.330432505338369,0.019798691498270626,3.0850990251350474e-7,12857.325597126925,12882,9.695897753920796e-4,8.141993394168339e-4,10,8.14862800170448e-4,4.164638423718322e-4,Main,adjusted
obesity_dx,-0.03737756503650979,0.022191856584029935,-1.6842919336189313,0.09215119993061571,2.987790772432122e-6,12032.274639273523,12882,0.006838598805622576,0.006673529623547575,10,0.006718364830264141,4.891919287964775e-4,Main,adjusted
htn_rx,0.04731613903583909,0.020163127791764192,2.3466666245683263,0.018957265661308176,6.705227635724846e-8,12877.057301933302,12882,3.3667283169636243e-4,1.8142219043415427e-4,10,1.8145511041775173e-4,4.064779648430206e-4,Main,adjusted
hld_rx,-0.17548306763109597,0.190090015496962,-0.9231577322581708,0.3559423070737151,2.74448015269294e-6,12878.528177987417,12882,2.3879574637531854e-4,8.354763628347052e-5,10,8.355461707422765e-5,0.0361311950634673,Main,adjusted
statin_rx,0.1482000151398026,0.18960258668061192,0.781634985758119,0.43444348940181743,4.065637296085527e-6,12878.11295588586,12882,2.7965032879286885e-4,1.2440355782416997e-4,10,1.2441903599490878e-4,0.03594466867495326,Main,adjusted
insulin_rx,0.3376923612137507,0.020764872750803232,16.262674241559605,0,5.955515244920245e-8,12877.618209025999,12882,3.0718193672971974e-4,1.519334773317023e-4,10,1.5195656462096852e-4,4.3111442968935654e-4,Main,adjusted
otherdm_rx,-0.09801722984132788,0.020764656879201576,-4.720387647700767,2.3787530216701214e-6,9.263059728487556e-8,12875.927851759112,12882,3.9157418241360104e-4,2.363184510271694e-4,10,2.3637431063812202e-4,4.3106908165396e-4,Main,adjusted
depres_rx,0.016952712902994802,0.03893540868576419,0.4354060603245487,0.663275009922381,2.637734629061372e-7,12876.860331120455,12882,3.4664810729037214e-4,1.913966406353159e-4,10,1.9143328032207533e-4,0.001515675898718285,Main,adjusted
psych_rx,-0.10516570156780626,0.046193599402576696,-2.276629293406828,0.022824726914349558,1.3828861111577868e-6,12861.471309777306,12882,8.682345718326153e-4,7.128784600302611e-4,10,7.133870182692505e-4,0.0021323274510434607,Main,adjusted
historical_hba1c_group7-9,0.18016348569275478,0.033822314737225904,5.326763915849354,1.0166205188788524e-7,1.6252987664130957e-7,12868.53947482923,12873,3.1164298350575063e-4,1.562856983485427e-4,10,1.5631012738596015e-4,0.001143770191319663,Main,interaction
historical_hba1c_group>=9,0.4656881431326486,0.03749184096825686,12.421052983952743,0,9.503100328578515e-7,12851.271683197589,12873,8.991517924267332e-4,7.436772004114169e-4,10,7.442306677909001e-4,0.0014045927981529201,Main,interaction
historical_hba1c_groupUnavailable,0.2902308479769371,0.03995789309838709,7.263417199257995,3.992361996552063e-13,3.9967439431831544e-7,12866.061655711914,12873,4.307242523848307e-4,2.753555594394776e-4,10,2.754314010069891e-4,0.0015961935790283805,Main,interaction
raceethNHBlack,0.11295862694524487,0.05448819168197936,2.073084524524663,0.03818430743426404,2.5208917375551376e-6,12842.971945852994,12873,0.0010895351200980274,9.339897064065213e-4,10,9.348628586934428e-4,0.002966190051860814,Main,interaction
raceethHispanic,0.2109864468334222,0.07466461941376588,2.825788820595297,0.0047237028578424045,2.0128328877735215e-6,12862.988007187547,12873,5.525516226285498e-4,3.9716474760675307e-4,10,3.973225501170888e-4,0.005572591276025954,Main,interaction
raceethNHOther,0.009980807174720923,0.07877327635107323,0.12670295863077863,0.8991774839473787,1.4935383821436865e-6,12866.30327911597,12873,4.2012674134674283e-4,2.647593187289823e-4,10,2.6482943478971666e-4,0.006203586174862195,Main,interaction
regionUrban,0.0667599150809178,0.037656248703651064,1.7728774739700748,0.07627266745840888,3.629713621096554e-7,12865.91796219123,12873,4.369424168243154e-4,2.8157295530752645e-4,10,2.81652260967016e-4,0.0014175937979329018,Main,interaction
SviOverallPctlRankByZip2020_X,0.033346458893038444,0.03606985631103432,0.9244965825615793,0.35524775268469533,1.1682317362486557e-5,11197.087362638762,12873,0.010053983821413297,0.009877177553678427,10,0.009975709406712425,0.0012881839851999273,Main,interaction
historical_bp_group,0.09771816814856435,0.011480565691050609,8.51161613270835,0,1.27921545823096e-7,12836.358333177368,12873,0.0012232077784539769,0.0010676030556909975,10,0.0010687440501046406,1.3166267488612295e-4,Main,interaction
age,-0.0022071728287211727,8.478662211406768e-4,-2.6032088243257916,0.0092467955579143,3.995151715693692e-9,12147.077270208953,12873,0.006276839586907502,0.00611323786816473,10,0.00615083941258273,7.144824620641081e-7,Main,interaction
female,0.017788239570157068,0.018176126261287555,0.9786595512402096,0.3277669858773542,1.022464513613607e-6,12618.742512509314,12873,0.0035622991364112283,0.0034043818572154173,10,0.0034160112639865766,3.292468549012921e-4,Main,interaction
supreme_detected_t2dm,-0.2624780699894977,0.021460650405279592,-12.230667059602478,0,8.689425275457596e-7,12765.816702248481,12873,0.0022316881917937826,0.002075381677009642,10,0.0020796978438083987,4.5960367903732674e-4,Main,interaction
ldl,6.072890466101604e-4,2.584722517820375e-4,2.349532850908385,0.019134089842564705,7.400551804331876e-9,575.3030797305116,12873,0.12488794003312675,0.121850954492893,10,0.13875885319960396,5.8667297956511926e-8,Main,interaction
BodyMassIndex,-0.002684454199680758,0.0015270577490425373,-1.757925789881821,0.07894230874469299,1.4392623490575522e-7,1679.2398911543783,12873,0.06900066278595664,0.06789248848047172,10,0.07283761544823611,2.17358651051453e-6,Main,interaction
insurance_medicare,-0.08215243655806756,0.022270470159352428,-3.688850570744141,2.2712053424056577e-4,1.1716109242041385e-5,6460.392498897017,12873,0.026286071663174294,0.02598467721035223,10,0.026677893665913083,4.8308612095236144e-4,Main,interaction
insurance_medicaid,-0.04929669002848264,0.02826640805813643,-1.74400263121839,0.08133520966010344,4.830677263771255e-5,1740.1110943757433,12873,0.06757685732465472,0.06650579052634722,10,0.07124392401303299,7.458523746075963e-4,Main,interaction
insurance_other,-0.05395796032017787,0.027624695919979018,-1.9532508331124774,0.050846493745967836,2.3073907298845406e-5,4919.340979612918,12873,0.03365253437189945,0.03325973742159374,10,0.0344040056145859,7.377425266425754e-4,Main,interaction
factor(ValidatedStateOrProvince_X)*Unspecified,0.08091658027633877,0.8023198487021653,0.10085326993621016,0.9196685102420525,9.003680331282803e-5,12868.58458936512,12873,3.0921426664239017e-4,1.53857148657485e-4,10,1.538808243223483e-4,0.6436180991378214,Main,interaction
factor(ValidatedStateOrProvince_X)Alabama,-0.32054795675373887,0.714331206741304,-0.4487385595486461,0.6536278208982802,6.513771410588148e-5,12868.830305493637,12873,2.957752649181971e-4,1.4041902462521574e-4,10,1.4043874489679374e-4,0.5101974214389712,Main,interaction
